case_id,n,k,family,T,profile,repetitions,mean,sd,minimum,maximum,median_seconds,maximum_iterations
0,4,2,rank8_rotated,256,PLS,5,1.3921897238546592,0.03566363881041945,1.3556605997517372,1.4474503369338039,0.0034363120794296265,0
0,4,2,rank8_rotated,256,OMD,5,1.4744727433057228,0.05720243012087875,1.4187669592356489,1.5676213419633722,0.025870549958199263,20
0,4,2,rank8_rotated,256,MW_PLS,5,1.314186297741357,0.03552428720241274,1.2828398271026993,1.369755795966496,0.011523291934281588,9
0,4,2,rank8_rotated,256,OMD_tight,5,1.5176092088042392,0.03382665386058342,1.4716676478257937,1.5661073744970517,0.3641386179951951,640
0,4,2,rank8_rotated,4096,PLS,5,0.6893922122651597,0.03701074316931106,0.6448720848232148,0.7247966270841342,0.0009471849771216512,0
0,4,2,rank8_rotated,4096,OMD,5,0.7543063828658394,0.05550159192804457,0.7001142435463641,0.8213129861463415,0.025596296996809542,20
0,4,2,rank8_rotated,4096,MW_PLS,5,0.6764523794643802,0.040454169711509065,0.624631601565423,0.712954036819387,0.08594336500391364,168
0,4,2,rank8_rotated,4096,OMD_tight,5,0.7900137015646804,0.03231861445273287,0.7512832172937509,0.8354993078263617,0.6770235329167917,840
0,4,2,rank8_rotated,65536,PLS,5,0.19963220020378117,0.005405105245264134,0.19143101456283332,0.20530534086454932,0.000964217004366219,0
0,4,2,rank8_rotated,65536,OMD,5,0.19958467757234205,0.004929967364949896,0.19301159559628867,0.20564201237911706,0.024860049015842378,20
0,4,2,rank8_rotated,65536,MW_PLS,5,0.20041509001764202,0.004213904797665537,0.19409772003135126,0.20569154125952044,1.3350155039224774,2649
0,4,2,rank8_rotated,65536,OMD_tight,5,0.23377943925274774,0.013385778595906077,0.21404532612580074,0.24534873772675933,2.2058564260369167,2480
0,4,2,rank8_rotated,1048576,PLS,5,0.0492219705910346,0.005018402514911924,0.044895696192005716,0.057540092196893815,0.0009954249253496528,0
0,4,2,rank8_rotated,1048576,OMD,5,0.049288321690304907,0.004995005071010148,0.04489090063165274,0.05757374831470007,0.024450788972899318,40
0,4,2,rank8_rotated,1048576,MW_PLS,5,0.04994891939004888,0.0049092545629268545,0.04554134633911405,0.05815472834988816,17.353308949037455,41038
0,4,2,rank8_rotated,1048576,OMD_tight,5,0.057910443310513426,0.0038052989010541965,0.052593710211670905,0.06164710730230305,7.153785642934963,13780
1,4,2,polynomial_rotated,256,PLS,5,1.1085699866267713,0.046980758420036524,1.03032916540869,1.152553920010916,0.0024876330280676484,0
1,4,2,polynomial_rotated,256,OMD,5,1.1879697845783599,0.09103288689589992,1.0886565123388126,1.3014142009372924,0.025603932910598814,20
1,4,2,polynomial_rotated,256,MW_PLS,5,1.0412421336220703,0.0761052284325558,0.9460019246390208,1.1541829034664397,0.005666202981956303,5
1,4,2,polynomial_rotated,256,OMD_tight,5,1.1966767504069313,0.09938586622495078,1.0921671768372387,1.3208418554980232,0.31577334203757346,420
1,4,2,polynomial_rotated,4096,PLS,5,0.5108271902847022,0.0323802816168488,0.46691438446938105,0.5497923447041861,0.0009967649821192026,0
